year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code
2019,29786.5245689007,14.104,47118501.0,79.6349761108307,ES
2020,27233.9426461608,15.532,47359424.0,79.6955674617799,ES
2021,30799.4775937775,14.914,47443821.0,79.7846242983598,ES
2022,30319.4987196616,13.033,47786102.0,79.9548794567814,ES
2023,33493.2225409111,12.179,48352528.0,80.128491001856,ES
2010,46506.2919016566,8.394,5363352.0,69.7855798796947,FI
2011,51060.3242589767,7.781,5388272.0,70.0583261874252,FI
2012,47551.6740841369,7.689,5413971.0,70.3661363168712,FI
2013,49691.0145200739,8.193,5438972.0,70.6742118159277,FI
2014,50073.7760815871,8.663,5461512.0,70.9879168940753,FI
2015,42560.3456767103,9.376,5479531.0,71.3054930040604,FI
2016,43451.2562442158,8.818,5495303.0,71.6158383428171,FI
2017,46085.0174739036,8.64,5508214.0,71.9563038312956,FI
2018,49654.2497035329,7.361,5515525.0,72.3423467740343,FI
2019,48358.1807773701,6.695,5521606.0,72.7431214358314,FI
2020,48828.6846862799,7.759,5529543.0,73.0849439791673,FI
2021,53099.1351400148,7.617,5541017.0,73.3710215780329,FI
2022,50440.560224974,6.719,5556106.0,73.6967597835949,FI
2023,52834.2916752703,7.149,5583911.0,74.0062548602828,FI
2010,40694.8211697025,9.279,65026211.0,77.0962844808803,FR
2011,43929.7840873812,9.228,65340830.0,77.1182717387509,FR
2012,40863.5814412333,9.841,65657659.0,77.1669464919916,FR
2013,42669.1795111893,9.913,65997932.0,77.2440721470918,FR
2014,43148.0459288416,10.273,66312067.0,77.3524296788613,FR
2015,36702.4323733379,10.354,66548272.0,77.7610919150066,FR
2016,37024.2157133669,10.057,66724104.0,78.5999114705779,FR
2017,38687.1626407164,9.409,66918020.0,78.6467804026368,FR
2018,41418.1766484844,9.018,67158348.0,78.6714432536599,FR
2019,40408.2848574751,8.415,67382061.0,78.6890784549356,FR
2020,39169.8606000707,8.009,67601110.0,78.7119131765249,FR
2021,43725.0999521245,7.871,67842811.0,78.7364603392338,FR
2022,40988.6396406579,7.303,68184457.0,78.7591921123356,FR
2023,44700.1384177544,7.335,68372286.0,78.7804323126547,FR
2010,26653.0488008626,12.719,11121341.0,76.3631476983077,GR
2011,25504.7866510124,17.973,11104899.0,76.6352609929407,GR
2012,21624.346052551,24.731,11045011.0,76.8679797449322,GR
2013,21573.3449762805,27.686,10965211.0,77.0951999650171,GR
2014,21474.7257123892,26.708,10892413.0,77.3130486275866,GR
2015,17980.7298238137,24.981,10820883.0,77.5194426317545,GR
2016,17919.2426377048,23.514,10775971.0,77.7122988766348,GR
2017,18631.9930129293,21.413,10754679.0,77.8895342613411,GR
2018,19873.4015238771,19.179,10732882.0,78.0490656849874,GR
2019,19335.3602002969,17.045,10721582.0,78.1888100466875,GR
2020,17886.733165236,15.899,10698599.0,78.3066842455552,GR
2021,20654.7001960815,14.656,10569207.0,78.3884898647442,GR
2022,20886.5243087629,12.426,10436882.0,78.5502190980809,GR
2023,23343.7103964562,11.023,10407351.0,78.7746303842088,GR
2010,13729.7654965022,11.62,4295427.0,55.2824979327886,HR
2011,14691.558296292,13.678,4280622.0,55.2773793281248,HR
2012,13507.7805260991,16.046,4260368.0,55.3042888624873,HR
2013,14134.9474982889,17.231,4233922.0,55.3659479687433,HR
2014,14186.7295493276,17.209,4201598.0,55.4591834926844,HR
2015,12283.7840620053,16.15,4151725.0,55.5812594509004,HR
2016,12820.1653893008,13.015,4106867.0,55.7294398599808,HR
2017,13901.7878144679,11.078,4041407.0,55.9009887365155,HR
2018,15460.3669595491,8.322,3988775.0,56.093170097094,HR
2019,15563.5987295029,6.551,3949390.0,56.303247958306,HR
2020,14807.5608543265,7.389,3914206.0,56.5284863367411,HR
2021,17788.7865816658,7.483,3878981.0,56.7683502560171,HR
2022,18465.5414420364,6.811,3855641.0,56.9977571733605,HR
2023,22184.2279304842,6.121,3859686.0,57.2431560672198,HR
2010,13189.8433874768,11.172,10000023.0,69.5305480957031,HU
2011,14211.460557822,11.029,9971727.0,69.4779934082031,HU
2012,12950.1594488143,11.003,9920362.0,69.5772326660156,HU
2013,13739.4620151401,10.177,9872734.0,69.9277636266638,HU
2014,14352.501883174,7.725,9833038.0,70.3071053512008,HU
2015,12782.9412577973,6.813,9797755.0,70.4847717285156,HU
2016,13215.8605277789,5.115,9759755.0,70.4733810424805,HU
2017,14736.1668157258,4.156,9726756.0,70.4542541503906,HU
2018,16605.0570511887,3.667,9706964.0,70.4711761474609,HU
2019,17012.8598553199,3.411,9694824.0,70.4565277099609,HU
2020,16386.9308821258,4.248,9670419.0,70.2917327880859,HU
2021,19030.628130329,4.021,9630932.0,70.2059275331413,HU
2022,18428.028825614,3.583,9605074.0,70.1585064243445,HU
2023,22230.6277875187,4.096,9592186.0,70.2923026891431,HU
2010,48623.9666422487,14.534,4560155.0,61.8910689348512,IE
2011,52613.8540355689,15.354,4580084.0,62.0872735820277,IE
2012,49335.8408099555,15.451,4599533.0,62.2529318511038,IE
2013,52537.6108648692,13.735,4623816.0,62.4047157756118,IE
2014,57214.5379785709,11.858,4657740.0,62.535401730577,IE
2015,64250.1385181257,9.908,4701957.0,62.6392123492764,IE
