year,country,actual,predicted,error
2019,IT,43774.99999999997,62531.11236614649,-18756.112366146517
2020,IT,26950.000000000022,57697.953845284006,-30747.953845283984
2021,IT,53609.999999999985,49714.41478875335,3895.585211246638
2022,IT,84289.99999999994,60443.33402437051,23846.665975629432
2023,IT,135820.00000000012,69812.67824479018,66007.32175520994
2019,LT,645.0,868.0949405121925,-223.09494051219247
2020,LT,315.00000000000006,811.037215450174,-496.03721545017396
2021,LT,3940.0000000000014,339.9669461090135,3600.033053890988
2022,LT,1025.0,369.5991189020471,655.4008810979528
2023,LT,575.0000000000001,568.7168301589292,6.283169841070958
2019,LU,2270.0,2503.7537121621244,-233.75371216212443
2020,LU,1345.0000000000002,2213.1397743444873,-868.139774344487
2021,LU,1420.0,671.096846827253,748.903153172747
2022,LU,2459.999999999999,1773.5681919908266,686.4318080091725
2023,LU,2685.0000000000005,1427.786066014175,1257.2139339858254
2019,LV,195.00000000000009,521.9411798654266,-326.94117986542653
2020,LV,180.00000000000006,495.2884856371858,-315.2884856371857
2021,LV,614.9999999999998,249.3070533968481,365.69294660315165
2022,LV,620.0,291.33458164944597,328.66541835055403
2023,LV,1700.0,363.5781493602536,1336.4218506397465
2019,MT,4089.999999999998,1388.4495215410075,2701.5504784589907
2020,MT,2480.0000000000005,1378.1695603325286,1101.8304396674719
2021,MT,1594.9999999999993,1307.838594114833,287.16140588516623
2022,MT,1320.0,1302.1310454957468,17.868954504253225
2023,MT,854.9999999999999,1212.1338962626805,-357.13389626268065
2019,NL,25260.00000000001,25373.658800444224,-113.65880044421283
2020,NL,15319.999999999998,36149.707692583004,-20829.707692583004
2021,NL,26555.00000000002,15638.112180721891,10916.887819278127
2022,NL,37060.000000000015,19069.86249171821,17990.137508281805
2023,NL,39754.999999999985,23731.533985061007,16023.466014938978
2019,PL,4080.0000000000036,18377.889452876232,-14297.889452876228
2020,PL,2790.0000000000005,15205.476386537088,-12415.476386537088
2021,PL,7810.000000000003,8547.026887106547,-737.0268871065446
2022,PL,9824.999999999995,10543.758130176453,-718.7581301764585
