country,date,GDP,Fossil_Fuels,CO2_emit,Urban_pop
Belgium,1992,23372.619171015,75.932201019897,112329.3,9697796.0
Belgium,1993,22283.9360213551,75.9350151554047,110108.3,9743821.0
Belgium,1994,24208.5547931447,77.649374811826,114901.4,9781788.0
Belgium,1995,28413.8264387368,77.4056975302647,114568.7,9810102.0
Belgium,1996,27489.5551770488,77.6444837949628,119448.4,9836805.0
Belgium,1997,24820.9380503896,75.8983187385392,116634.7,9868070.0
Belgium,1998,25338.4432934904,77.0485270457957,119412.8,9896510.0
Belgium,1999,25252.8019066564,75.7901428991254,115514.5,9926274.0
Belgium,2000,23098.8865077401,75.8540863960788,117274.6,9956937.0
Belgium,2001,23015.0712632462,75.6282926275786,118339.8,9997106.0
Belgium,2002,25006.191397109,74.4701814763315,110850.2,10047703.0
Belgium,2003,30655.2092679024,75.232845873978,115502.1,10095562.0
Belgium,2004,35429.4077933344,75.0194585935233,113350.8,10144977.0
Belgium,2005,36809.7013403619,74.7639489844314,110960.2,10206487.0
Belgium,2006,38705.1067959147,73.9425114862405,108081.5,10279407.0
Belgium,2007,44319.165448813,72.6665499302844,103905.8,10360589.0
Belgium,2008,48303.397956286,73.3936320880596,106715.4,10448114.0
Belgium,2009,44760.2912443709,72.6400231167136,99904.4,10537701.0
Belgium,2010,44184.946353964,72.7936170372105,106872.8,10639649.0
Belgium,2011,47410.5669277464,70.2544959262826,96488.2,10784163.0
Belgium,2012,44670.5606845101,71.1157141124069,95275.6,10856360.0
Belgium,2013,46757.9518559598,70.820305796114,96550.6,10912673.0
Belgium,2014,47764.0715120833,72.6525048356486,90362.4,10966157.0
Belgium,2015,41008.296719472,75.8707843536824,95096.0,11034732.0
Bulgaria,1990,2366.52982128614,84.1211555653564,73605.7,5786939.0
Bulgaria,1991,1267.73437541485,81.8730048286446,58826.5,5759256.0
Bulgaria,1992,1211.98087810931,82.4889241407183,55364.1,5726692.0
Bulgaria,1993,1278.52511370319,81.9196818576677,55925.2,5704408.0
Bulgaria,1994,1148.4943993817,79.8478003596429,53724.0,5704237.0
Bulgaria,1995,2259.25922555221,78.7710016942074,54882.8,5697800.0
Bulgaria,1996,1470.19259250682,77.4812401154173,55301.7,5687307.0
Bulgaria,1997,1361.40938439884,76.8216465897374,52994.6,5671407.0
Bulgaria,1998,1820.44866449942,76.1415318295048,50477.5,5652100.0
Bulgaria,1999,1659.71861105493,74.7372620633026,44322.0,5638810.0
Bulgaria,2000,1621.26210738992,72.3850411748848,43421.1,5629167.0
Bulgaria,2001,1770.90704918691,73.1454631425634,46185.6,5539603.0
Bulgaria,2002,2092.98288625558,70.4665561092248,43599.9,5448708.0
Bulgaria,2003,2719.49436859287,74.0906022391055,47933.3,5433321.0
Bulgaria,2004,3389.68743360274,73.9769293902061,47265.7,5419782.0
Bulgaria,2005,3899.82596332878,72.9612547766738,47985.6,5406009.0
Bulgaria,2006,4523.1465578805,72.4792439088174,48954.8,5391557.0
Bulgaria,2007,5888.77685220636,77.7206583262712,52598.7,5378166.0
Bulgaria,2008,7271.30338858025,76.1421363788758,50039.3,5366322.0
Bulgaria,2009,6988.27316296465,73.0238178824845,42907.8,5357245.0
Bulgaria,2010,6863.66706774052,73.1645429106842,44740.6,5347166.0
Bulgaria,2011,7857.16706984441,75.0439512978541,49637.6,5337678.0
Bulgaria,2012,7430.7373804242,72.1871003864391,45023.1,5331472.0
Bulgaria,2013,7687.71368243317,70.2084792905056,39660.7,5326274.0
Bulgaria,2014,7912.27484371138,71.0459225220269,42054.4,5320503.0
Croatia,1995,4930.33530861222,76.8640510627956,15452.9,2415305.0
Croatia,1996,5298.88508010941,74.4857179254336,15254.4,2392886.0
Croatia,1997,5330.32889310394,77.1322144875029,17069.6,2391671.0
Croatia,1998,5711.48570357941,78.2325137220943,18527.5,2400581.0
Croatia,1999,5267.51220732922,78.2743707681995,18513.6,2400611.0
Croatia,2000,4952.37775298931,77.9085001612781,18034.4,2387324.0
Croatia,2001,5364.01024143422,77.7875080113597,19196.0,2306414.0
Croatia,2002,6219.47321325884,79.7087521961615,20276.7,2315000.0
Croatia,2003,8192.32263343511,79.5043878047029,21607.9,2322932.0
Croatia,2004,9723.38102385632,78.0395299623686,21092.7,2330812.0
Croatia,2005,10446.3614889222,77.0328017241247,21445.0,2341055.0
Croatia,2006,11505.399839938,77.640036380428,21598.3,2348849.0
Croatia,2007,13762.4562630334,79.6582710740328,22872.0,2355577.0
